"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",14,"declarative",51,3764,1,1543,0.000648088139987038,0.648088139987038
"child","and",15,"declarative",51,3764,2,875,0.00228571428571429,2.28571428571429
"child","and",15,"declarative",51,3789,1,2840,0.000352112676056338,0.352112676056338
"child","and",16,"declarative",49,3384,1,304,0.00328947368421053,3.28947368421053
"child","and",16,"declarative",51,3764,3,2175,0.00137931034482759,1.37931034482759
"child","and",16,"declarative",51,3789,1,4731,0.00021137180300148,0.21137180300148
"child","and",17,"declarative",51,3764,1,951,0.0010515247108307,1.0515247108307
"child","and",17,"declarative",51,3789,5,3425,0.00145985401459854,1.45985401459854
"child","and",17,"declarative",56,4041,1,236,0.00423728813559322,4.23728813559322
"child","and",17,"declarative",68,5020,1,171,0.00584795321637427,5.84795321637427
"child","and",17,"declarative",184,14457,1,236,0.00423728813559322,4.23728813559322
"child","and",17,"declarative",184,14646,2,108,0.0185185185185185,18.5185185185185
"child","and",17,"other",182,14375,3,880,0.00340909090909091,3.40909090909091
"child","and",17,"question",56,4041,3,148,0.0202702702702703,20.2702702702703
"child","and",17,"question",68,5006,1,9,0.111111111111111,111.111111111111
"child","and",18,"declarative",33,2732,1,377,0.0026525198938992,2.6525198938992
"child","and",18,"declarative",38,3088,1,1766,0.000566251415628539,0.566251415628539
"child","and",18,"declarative",51,3764,37,2597,0.0142472083172892,14.2472083172892
"child","and",18,"declarative",51,3789,1,3180,0.000314465408805031,0.314465408805031
"child","and",18,"declarative",55,3972,2,587,0.00340715502555366,3.40715502555366
"child","and",18,"declarative",57,4084,2,698,0.00286532951289398,2.86532951289398
"child","and",18,"declarative",68,5024,2,488,0.00409836065573771,4.09836065573771
"child","and",18,"declarative",75,5193,3,1483,0.00202292650033715,2.02292650033715
"child","and",18,"declarative",184,14520,5,311,0.0160771704180064,16.0771704180064
"child","and",18,"question",51,3789,1,254,0.00393700787401575,3.93700787401575
"child","and",19,"declarative",32,2594,1,291,0.00343642611683849,3.43642611683849
"child","and",19,"declarative",32,2600,1,45,0.0222222222222222,22.2222222222222
"child","and",19,"declarative",32,2603,1,83,0.0120481927710843,12.0481927710843
"child","and",19,"declarative",33,2732,4,978,0.00408997955010225,4.08997955010225
"child","and",19,"declarative",38,3088,1,1408,0.000710227272727273,0.710227272727273
"child","and",19,"declarative",39,3136,2,54,0.037037037037037,37.037037037037
"child","and",19,"declarative",51,3764,14,2473,0.00566114031540639,5.66114031540639
"child","and",19,"declarative",51,3789,1,3953,0.000252972426005565,0.252972426005565
"child","and",19,"declarative",51,3810,1,774,0.00129198966408269,1.29198966408269
"child","and",19,"declarative",55,4024,4,133,0.0300751879699248,30.0751879699248
"child","and",19,"declarative",65,4726,1,281,0.00355871886120996,3.55871886120996
"child","and",19,"declarative",75,5193,1,1048,0.000954198473282443,0.954198473282443
"child","and",19,"declarative",191,15123,4,480,0.00833333333333333,8.33333333333333
"child","and",19,"declarative",191,15163,1,450,0.00222222222222222,2.22222222222222
"child","and",19,"imperative",51,3764,1,107,0.00934579439252336,9.34579439252336
"child","and",19,"other",38,3088,1,39,0.0256410256410256,25.6410256410256
"child","and",19,"other",51,3789,1,99,0.0101010101010101,10.1010101010101
"child","and",19,"other",51,3801,1,26,0.0384615384615385,38.4615384615385
"child","and",19,"other",55,4024,1,7,0.142857142857143,142.857142857143
"child","and",19,"question",51,3764,1,219,0.0045662100456621,4.5662100456621
"child","and",20,"declarative",32,2679,2,188,0.0106382978723404,10.6382978723404
"child","and",20,"declarative",33,2732,5,640,0.0078125,7.8125
"child","and",20,"declarative",38,3088,3,1284,0.00233644859813084,2.33644859813084
"child","and",20,"declarative",39,3136,9,401,0.0224438902743142,22.4438902743142
"child","and",20,"declarative",49,3386,6,984,0.00609756097560976,6.09756097560976
"child","and",20,"declarative",51,3764,10,1830,0.00546448087431694,5.46448087431694
"child","and",20,"declarative",51,3774,9,2595,0.00346820809248555,3.46820809248555
"child","and",20,"declarative",51,3789,8,4516,0.00177147918511957,1.77147918511957
"child","and",20,"declarative",51,3810,5,1494,0.00334672021419009,3.34672021419009
"child","and",20,"declarative",68,5044,1,567,0.0017636684303351,1.7636684303351
"child","and",20,"declarative",75,5193,2,391,0.0051150895140665,5.1150895140665
"child","and",20,"declarative",187,14982,51,1379,0.0369833212472806,36.9833212472806
"child","and",20,"imperative",51,3764,1,33,0.0303030303030303,30.3030303030303
"child","and",20,"imperative",51,3789,3,229,0.0131004366812227,13.1004366812227
