"speech_act","speaker","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"declarative","child",12,2001,2046,0.978005865102639,97.8005865102639
"declarative","child",13,3184,3356,0.948748510131109,94.8748510131109
"declarative","child",14,15791,16285,0.969665336198956,96.9665336198956
"declarative","child",15,5560,6140,0.905537459283388,90.5537459283388
"declarative","child",16,8146,9142,0.891052286151827,89.1052286151827
"declarative","child",17,9844,11354,0.867007222124361,86.7007222124361
"declarative","child",18,16337,17697,0.923150816522574,92.3150816522574
"declarative","child",19,21182,23096,0.917128507100797,91.7128507100797
"declarative","child",20,23124,26403,0.875809567094648,87.5809567094648
"declarative","child",21,24590,28157,0.873317469900913,87.3317469900913
"declarative","child",22,23702,27504,0.861765561372891,86.1765561372891
"declarative","child",23,38765,43601,0.889085112726772,88.9085112726772
"declarative","child",24,89263,103637,0.861304360411822,86.1304360411822
"declarative","child",25,66427,75181,0.883561006105266,88.3561006105266
"declarative","child",26,63444,71405,0.888509208038653,88.8509208038653
"declarative","child",27,67792,76383,0.887527329379574,88.7527329379574
"declarative","child",28,69519,80095,0.867956801298458,86.7956801298458
"declarative","child",29,75481,87761,0.86007452057292,86.007452057292
"declarative","child",30,76113,89888,0.846753737985048,84.6753737985048
"declarative","child",31,70585,83028,0.850134894252541,85.0134894252541
"declarative","child",32,63939,75626,0.845463200486605,84.5463200486605
"declarative","child",33,65587,78185,0.838869348340475,83.8869348340475
"declarative","child",34,62657,76215,0.822108508823722,82.2108508823722
"declarative","child",35,43533,52360,0.831417112299465,83.1417112299465
"declarative","child",36,95565,118276,0.807983022760323,80.7983022760323
"declarative","child",37,35453,42571,0.832796974466186,83.2796974466186
"declarative","child",38,29931,36910,0.810918450284476,81.0918450284476
"declarative","child",39,21666,26482,0.818140623819953,81.8140623819953
"declarative","child",40,16811,21432,0.784387831280329,78.4387831280329
"declarative","child",41,15145,19204,0.788637783795043,78.8637783795043
"declarative","child",42,15817,19500,0.811128205128205,81.1128205128205
"declarative","child",43,11095,13924,0.796825624820454,79.6825624820454
"declarative","child",44,12624,16205,0.779018821351435,77.9018821351435
"declarative","child",45,13978,18016,0.775865896980462,77.5865896980462
"declarative","child",46,12851,16309,0.787969832607763,78.7969832607763
"declarative","child",47,9653,12019,0.803145020384391,80.3145020384391
"declarative","child",48,13332,16877,0.789950820643479,78.9950820643479
"declarative","child",49,9575,11749,0.814962975572389,81.4962975572389
"declarative","child",50,11610,14762,0.786478796910988,78.6478796910988
"declarative","child",51,8587,10689,0.803349237533913,80.3349237533913
"declarative","child",52,10208,12507,0.816182937554969,81.6182937554969
"declarative","child",53,7425,9217,0.805576651838993,80.5576651838993
"declarative","child",54,8598,11796,0.728891149542218,72.8891149542218
"declarative","child",55,8313,10625,0.7824,78.24
"declarative","child",56,7483,9222,0.811429191064845,81.1429191064845
"declarative","child",57,59021,86666,0.681016777052131,68.1016777052131
"declarative","child",58,9759,11772,0.829001019367992,82.9001019367992
"declarative","child",59,8130,10543,0.771127762496443,77.1127762496443
"declarative","child",60,5703,7196,0.792523624235686,79.2523624235686
"declarative","child",61,3812,4646,0.820490744726647,82.0490744726647
"declarative","child",62,4251,5504,0.77234738372093,77.234738372093
"declarative","child",63,2816,3589,0.784619671217609,78.4619671217609
"declarative","child",64,2260,2933,0.77054210705762,77.054210705762
"declarative","child",65,1666,2303,0.723404255319149,72.3404255319149
"declarative","child",66,2762,3757,0.735161032738887,73.5161032738887
"declarative","child",67,3922,5247,0.747474747474748,74.7474747474748
"declarative","child",68,2803,3629,0.772389087903004,77.2389087903004
"declarative","child",69,3743,4885,0.766223132036847,76.6223132036847
"declarative","child",70,2434,3162,0.769765970904491,76.9765970904491
"declarative","child",71,1821,2301,0.791395045632334,79.1395045632334
"declarative","parent",12,4869,7569,0.643281807372176,64.3281807372176
"declarative","parent",13,5227,8365,0.62486551105798,62.486551105798
